date,tweet,lang,retweetCount,likeCount,replyCount,username,user_followersCount,user_friendsCount,verifiedStatus,tweet_url,hastags,chr_count,topic
2022-06-01,"@TheFun96593011 @S_Catsgotmyback @Son_of_Space @Regenarian @NurseCanadian @farmers_against @warrengriff33 @lise_mc @RayneStafford @Freeeethinker1 @Ashy_the_Bear @ozzakid @joe31183 @Veganella_ @OurCompass @ScouseTebbo @fitevolutionary @EOMovement @KenDBerryMD Murder is a crime, 100,000,000,000 murders are committed annually just to land animals, billions more to sea life. All in the name of non veganism, Come on, denounce them.",en,0,2,0,ukwondering,2203,2013,False,https://twitter.com/ukwondering/status/1532067694437990400,,430,non veganism
2022-06-01,"@TheFun96593011 @S_Catsgotmyback @Son_of_Space @Regenarian @NurseCanadian @farmers_against @warrengriff33 @lise_mc @RayneStafford @Freeeethinker1 @Ashy_the_Bear @ozzakid @joe31183 @Veganella_ @OurCompass @ScouseTebbo @fitevolutionary @EOMovement @KenDBerryMD But, given they are non vegan, they will be doing it in the name of non veganism.",en,0,1,2,ukwondering,2203,2013,False,https://twitter.com/ukwondering/status/1532067166324809728,,340,non veganism
2022-06-01,"@TheFun96593011 @S_Catsgotmyback @Son_of_Space @Regenarian @NurseCanadian @farmers_against @warrengriff33 @lise_mc @RayneStafford @Freeeethinker1 @Ashy_the_Bear @ozzakid @joe31183 @Veganella_ @OurCompass @ScouseTebbo @fitevolutionary @EOMovement @KenDBerryMD Slavery is a crime, yet non humans are slaves, denounce that. Done in the name of non veganism.",en,0,10,1,ukwondering,2203,2013,False,https://twitter.com/ukwondering/status/1532066431944171520,,354,non veganism
2022-06-01,"@TheFun96593011 @S_Catsgotmyback @Son_of_Space @Regenarian @NurseCanadian @farmers_against @warrengriff33 @lise_mc @RayneStafford @Freeeethinker1 @Ashy_the_Bear @ozzakid @joe31183 @Veganella_ @OurCompass @ScouseTebbo @fitevolutionary @EOMovement @KenDBerryMD If one is a non vegan, and one commits a crime, one is by definition, doing it in the name of non veganism.",en,0,1,1,ukwondering,2203,2013,False,https://twitter.com/ukwondering/status/1532066235147358209,,366,non veganism
2022-06-01,"@TheFun96593011 @S_Catsgotmyback @Son_of_Space @Regenarian @NurseCanadian @farmers_against @warrengriff33 @lise_mc @RayneStafford @Freeeethinker1 @Ashy_the_Bear @ozzakid @joe31183 @Veganella_ @OurCompass @ScouseTebbo @fitevolutionary @EOMovement @KenDBerryMD So, given there are millions of non vegans committing crimes, in the name of non veganism, will you continue to challenge non vegan lies and misinformation? To do otherwise would of course be rank hypocrisy.",en,0,10,2,ukwondering,2203,2013,False,https://twitter.com/ukwondering/status/1532064696546693121,,466,non veganism
2022-06-01,@_Rachelbridgers It’s easy and that’s probably why in part we get so much vitriol from nonvegans. They can’t justify nonveganism.,en,0,13,1,Junefoox,516,422,False,https://twitter.com/Junefoox/status/1532058246022074368,,129,non veganism
2022-06-01,"@Parakite4 @LaurenInTheWild Isnt veganism huge in india?

I notice that menus often times have meat/non meat sections. Saag paneer, daal, etc",en,0,1,1,Alex343,1152,1052,False,https://twitter.com/Alex343/status/1531921340965322752,,141,non veganism
2022-06-01,"Saying vegans that you respect are the one who respect non veganism is logically absurd as much as saying ""Leftists claim to be open and tolerant, but they won't tolerate me being misogynist, racist, and homophobic. Curious"" by conservatives",en,1,0,0,alltotlib,505,236,False,https://twitter.com/alltotlib/status/1531828200711409664,,241,non veganism
2022-06-01,@ComradeRedPagan @Artie66245774 And total liberationist vegans agree that you can’t be transphobic/racist/anti Indigenous/ableist/homophobic and call yourself vegan. Veganism is anti oppression and aims to liberate non human and human animals and the planet,en,0,4,1,areikm,739,2636,False,https://twitter.com/areikm/status/1531811053461544961,,257,non veganism
2022-06-02,The last two months I’ve been the strictest with veganism I’ve ever been and today I had non vegan pizza aka lots of dairy for the first time and I’m not doin too well,en,0,0,0,caloristocracy,458,412,False,https://twitter.com/caloristocracy/status/1532462153038438401,,167,non veganism
